"rayyan_key","location","biome","taxonomic_group","conservation_problem","stakeholder_population","type_of_scientific_evidence","study_design","data_collected","factors_influencing_evidence_use","evidence_discipline","scale_of_study","scale_of_decision_making","type_of_organisation_studied","description_of_decision_type","location_std","continent_raw"
"rayyan-164685016","Uganda","Forest","Not mentioned","Not reported","Policymakers","Research data","Surveys","Stakeholder perceptions","Accessibility of evidence, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, Intergovernmental organisation","Forest policy","Uganda","Africa"
"rayyan-164685016","Tanzania","Forest","Not mentioned","Not reported","Policymakers","Research data","Surveys","Stakeholder perceptions","Accessibility of evidence, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, Intergovernmental organisation","Forest policy","Tanzania","Africa"
"rayyan-164685016","Vietnam","Forest","Not mentioned","Not reported","Policymakers","Research data","Surveys","Stakeholder perceptions","Accessibility of evidence, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, Intergovernmental organisation","Forest policy","Vietnam","Asia"
"rayyan-164685016","Zambia","Forest","Not mentioned","Not reported","Policymakers","Research data","Surveys","Stakeholder perceptions","Accessibility of evidence, Relevance, Rigour","Natural sciences","Multi-country","National","Government/statutory body, Intergovernmental organisation","Forest policy","Zambia","Africa"
"rayyan-164685619","Australia","Not mentioned","Not mentioned","Not reported","Practitioners","No description provided","Surveys, Interviews","Stakeholder perceptions","Scientist-actor relationships, Practitioner/policymaker personal characteristics","Not mentioned","Single","Not reported","Government/statutory body","Knowledge-brokering","Australia","Oceania"
"rayyan-164686118","USA","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Time lag, Timeliness of evidence, Practitioner/policymaker awareness of evidence","Not mentioned","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Private sector, Academic institution","Not detailed","United States","Americas"
"rayyan-164686118","UK","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Time lag, Timeliness of evidence, Practitioner/policymaker awareness of evidence","Not mentioned","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Private sector, Academic institution","Not detailed","United Kingdom","Europe"
"rayyan-164686118","Australia","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Time lag, Timeliness of evidence, Practitioner/policymaker awareness of evidence","Not mentioned","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Private sector, Academic institution","Not detailed","Australia","Oceania"
"rayyan-164686118","Brazil","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Time lag, Timeliness of evidence, Practitioner/policymaker awareness of evidence","Not mentioned","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Private sector, Academic institution","Not detailed","Brazil","Americas"
"rayyan-164686805","Ivory Coast","Not mentioned","Not mentioned","Land use change, Overexploitation","Researchers, Practitioners","Research data","Interviews","Stakeholder perceptions","Relevance, Practitioner/policmaker attitude towards evidence use, Capacity and resources","Both natural and social sciences","Multi-country","Local","Government/statutory body, NGO/non-profit, Intergovernmental organisation, Private sector, Academic institution","Use of monitoring data in protected areas","Côte d'Ivoire","Africa"
"rayyan-164686805","Cameroon","Not mentioned","Not mentioned","Land use change, Overexploitation","Researchers, Practitioners","Research data","Interviews","Stakeholder perceptions","Relevance, Practitioner/policmaker attitude towards evidence use, Capacity and resources","Both natural and social sciences","Multi-country","Local","Government/statutory body, NGO/non-profit, Intergovernmental organisation, Private sector, Academic institution","Use of monitoring data in protected areas","Cameroon","Africa"
"rayyan-164686805","Republic of Congo","Not mentioned","Not mentioned","Land use change, Overexploitation","Researchers, Practitioners","Research data","Interviews","Stakeholder perceptions","Relevance, Practitioner/policmaker attitude towards evidence use, Capacity and resources","Both natural and social sciences","Multi-country","Local","Government/statutory body, NGO/non-profit, Intergovernmental organisation, Private sector, Academic institution","Use of monitoring data in protected areas","Republic of the Congo","Africa"
"rayyan-164686805","Democratic Republic of Congo","Not mentioned","Not mentioned","Land use change, Overexploitation","Researchers, Practitioners","Research data","Interviews","Stakeholder perceptions","Relevance, Practitioner/policmaker attitude towards evidence use, Capacity and resources","Both natural and social sciences","Multi-country","Local","Government/statutory body, NGO/non-profit, Intergovernmental organisation, Private sector, Academic institution","Use of monitoring data in protected areas","Democratic Republic of the Congo","Africa"
"rayyan-164686805","Uganda","Not mentioned","Not mentioned","Land use change, Overexploitation","Researchers, Practitioners","Research data","Interviews","Stakeholder perceptions","Relevance, Practitioner/policmaker attitude towards evidence use, Capacity and resources","Both natural and social sciences","Multi-country","Local","Government/statutory body, NGO/non-profit, Intergovernmental organisation, Private sector, Academic institution","Use of monitoring data in protected areas","Uganda","Africa"
"rayyan-164686805","Indonesia","Not mentioned","Not mentioned","Land use change, Overexploitation","Researchers, Practitioners","Research data","Interviews","Stakeholder perceptions","Relevance, Practitioner/policmaker attitude towards evidence use, Capacity and resources","Both natural and social sciences","Multi-country","Local","Government/statutory body, NGO/non-profit, Intergovernmental organisation, Private sector, Academic institution","Use of monitoring data in protected areas","Indonesia","Asia"
"rayyan-164687209","USA","Freshwater, Terrestrial ecosystems","Not mentioned","Not reported","Practitioners, Policymakers","Research data","Surveys","Stakeholder perceptions","Accessibility of evidence, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker personal characteristics, Other stakeholder values and beliefs","Natural sciences","Single","Local","Government/statutory body","Improving effectiveness of biodiversity protection","United States","Americas"
"rayyan-164688908","Argentina","Marine","Not mentioned","Overexploitation","Researchers, Policymakers","Decision-making tools","Interviews","Stakeholder perceptions","Format and language, Practitioner/policymaker research skills, Culture of practitioner/policymakers","Not mentioned","Multi-country","National","Government/statutory body, Academic institution","Use of Integrated Ecosytsem Assessment information in decision-making in the Atlantic","Argentina","Americas"
"rayyan-164688908","Brazil","Marine","Not mentioned","Overexploitation","Researchers, Policymakers","Decision-making tools","Interviews","Stakeholder perceptions","Format and language, Practitioner/policymaker research skills, Culture of practitioner/policymakers","Not mentioned","Multi-country","National","Government/statutory body, Academic institution","Use of Integrated Ecosytsem Assessment information in decision-making in the Atlantic","Brazil","Americas"
"rayyan-164688908","Canada","Marine","Not mentioned","Overexploitation","Researchers, Policymakers","Decision-making tools","Interviews","Stakeholder perceptions","Format and language, Practitioner/policymaker research skills, Culture of practitioner/policymakers","Not mentioned","Multi-country","National","Government/statutory body, Academic institution","Use of Integrated Ecosytsem Assessment information in decision-making in the Atlantic","Canada","Americas"
"rayyan-164688908","Germany","Marine","Not mentioned","Overexploitation","Researchers, Policymakers","Decision-making tools","Interviews","Stakeholder perceptions","Format and language, Practitioner/policymaker research skills, Culture of practitioner/policymakers","Not mentioned","Multi-country","National","Government/statutory body, Academic institution","Use of Integrated Ecosytsem Assessment information in decision-making in the Atlantic","Germany","Europe"
"rayyan-164688908","Portugal","Marine","Not mentioned","Overexploitation","Researchers, Policymakers","Decision-making tools","Interviews","Stakeholder perceptions","Format and language, Practitioner/policymaker research skills, Culture of practitioner/policymakers","Not mentioned","Multi-country","National","Government/statutory body, Academic institution","Use of Integrated Ecosytsem Assessment information in decision-making in the Atlantic","Portugal","Europe"
"rayyan-164688908","Spain","Marine","Not mentioned","Overexploitation","Researchers, Policymakers","Decision-making tools","Interviews","Stakeholder perceptions","Format and language, Practitioner/policymaker research skills, Culture of practitioner/policymakers","Not mentioned","Multi-country","National","Government/statutory body, Academic institution","Use of Integrated Ecosytsem Assessment information in decision-making in the Atlantic","Spain","Europe"
"rayyan-164688908","South Africa","Marine","Not mentioned","Overexploitation","Researchers, Policymakers","Decision-making tools","Interviews","Stakeholder perceptions","Format and language, Practitioner/policymaker research skills, Culture of practitioner/policymakers","Not mentioned","Multi-country","National","Government/statutory body, Academic institution","Use of Integrated Ecosytsem Assessment information in decision-making in the Atlantic","South Africa","Africa"
"rayyan-164688908","USA","Marine","Not mentioned","Overexploitation","Researchers, Policymakers","Decision-making tools","Interviews","Stakeholder perceptions","Format and language, Practitioner/policymaker research skills, Culture of practitioner/policymakers","Not mentioned","Multi-country","National","Government/statutory body, Academic institution","Use of Integrated Ecosytsem Assessment information in decision-making in the Atlantic","United States","Americas"
"rayyan-164689311","USA","Forest","Birds","Not reported","Practitioners","No description provided","Surveys","Stakeholder perceptions","Existence of evidence, Relevance, Spatial/temporal scale of evidence","Natural sciences","Multi-region","Regional","Government/statutory body, NGO/non-profit, Private sector","Forest managment","United States","Americas"
"rayyan-164691307","Canada","Not mentioned","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Format and language, Relevance, Rigour, Scientist-actor relationships","Natural sciences","Not reported","Not reported","Government/statutory body, NGO/non-profit","Not mentioned","Canada","Americas"
"rayyan-164693437","Madagascar","Forest","Not mentioned","Land use change, Invasive species","Researchers, Practitioners","No description provided","Surveys, Interviews","Stakeholder perceptions","Format and language, Relevance, Spatial/temporal scale of evidence, Scientist-actor relationships, Implementation capacity, Researcher skills and awareness","Not mentioned","Multi-country","Not reported","Not detailed","Not mentioned","Madagascar","Africa"
"rayyan-164693437","Kenya","Forest","Not mentioned","Land use change, Invasive species","Researchers, Practitioners","No description provided","Surveys, Interviews","Stakeholder perceptions","Format and language, Relevance, Spatial/temporal scale of evidence, Scientist-actor relationships, Implementation capacity, Researcher skills and awareness","Not mentioned","Multi-country","Not reported","Not detailed","Not mentioned","Kenya","Africa"
"rayyan-164693437","Tanzania","Forest","Not mentioned","Land use change, Invasive species","Researchers, Practitioners","No description provided","Surveys, Interviews","Stakeholder perceptions","Format and language, Relevance, Spatial/temporal scale of evidence, Scientist-actor relationships, Implementation capacity, Researcher skills and awareness","Not mentioned","Multi-country","Not reported","Not detailed","Not mentioned","Tanzania","Africa"
"rayyan-164693437","Vietnam","Forest","Not mentioned","Land use change, Invasive species","Researchers, Practitioners","No description provided","Surveys, Interviews","Stakeholder perceptions","Format and language, Relevance, Spatial/temporal scale of evidence, Scientist-actor relationships, Implementation capacity, Researcher skills and awareness","Not mentioned","Multi-country","Not reported","Not detailed","Not mentioned","Vietnam","Asia"
"rayyan-164693437","Lao","Forest","Not mentioned","Land use change, Invasive species","Researchers, Practitioners","No description provided","Surveys, Interviews","Stakeholder perceptions","Format and language, Relevance, Spatial/temporal scale of evidence, Scientist-actor relationships, Implementation capacity, Researcher skills and awareness","Not mentioned","Multi-country","Not reported","Not detailed","Not mentioned","Laos","Asia"
"rayyan-164693437","Myanmar","Forest","Not mentioned","Land use change, Invasive species","Researchers, Practitioners","No description provided","Surveys, Interviews","Stakeholder perceptions","Format and language, Relevance, Spatial/temporal scale of evidence, Scientist-actor relationships, Implementation capacity, Researcher skills and awareness","Not mentioned","Multi-country","Not reported","Not detailed","Not mentioned","Myanmar","Asia"
"rayyan-164693437","Cameroon","Forest","Not mentioned","Land use change, Invasive species","Researchers, Practitioners","No description provided","Surveys, Interviews","Stakeholder perceptions","Format and language, Relevance, Spatial/temporal scale of evidence, Scientist-actor relationships, Implementation capacity, Researcher skills and awareness","Not mentioned","Multi-country","Not reported","Not detailed","Not mentioned","Cameroon","Africa"
"rayyan-164693437","Colombia","Forest","Not mentioned","Land use change, Invasive species","Researchers, Practitioners","No description provided","Surveys, Interviews","Stakeholder perceptions","Format and language, Relevance, Spatial/temporal scale of evidence, Scientist-actor relationships, Implementation capacity, Researcher skills and awareness","Not mentioned","Multi-country","Not reported","Not detailed","Not mentioned","Colombia","Americas"
"rayyan-164693437","Indonesia","Forest","Not mentioned","Land use change, Invasive species","Researchers, Practitioners","No description provided","Surveys, Interviews","Stakeholder perceptions","Format and language, Relevance, Spatial/temporal scale of evidence, Scientist-actor relationships, Implementation capacity, Researcher skills and awareness","Not mentioned","Multi-country","Not reported","Not detailed","Not mentioned","Indonesia","Asia"
"rayyan-164693437","Ethiopia","Forest","Not mentioned","Land use change, Invasive species","Researchers, Practitioners","No description provided","Surveys, Interviews","Stakeholder perceptions","Format and language, Relevance, Spatial/temporal scale of evidence, Scientist-actor relationships, Implementation capacity, Researcher skills and awareness","Not mentioned","Multi-country","Not reported","Not detailed","Not mentioned","Ethiopia","Africa"
"rayyan-153486350","Canada","Marine","Fish","Overexploitation","Practitioners","No description provided","Interviews, Documentary analysis","Stakeholder perceptions","Relevance, Timeliness of evidence, Scientist-actor relationships","Not mentioned","Multi-unit","Regional","Community/local organisation","","Canada","Americas"
"rayyan-83177768","Australia","Not mentioned","Not mentioned","Not reported","Policymakers","No description provided","Interviews","Stakeholder perceptions","Format and language, Relevance, Rigour, Uncertainty, Inconclusive, Source of evidence, Scientist-actor relationships, Relationships between colleagues, Social, political, and economic context, Practitioner/policymaker research skills, Practitioner/policymaker decision process, Culture of practitioner/policymakers, Other stakeholder values and beliefs","Not mentioned","Multi-country","National","Government/statutory body","","Australia","Oceania"
"rayyan-83177768","Canada","Not mentioned","Not mentioned","Not reported","Policymakers","No description provided","Interviews","Stakeholder perceptions","Format and language, Relevance, Rigour, Uncertainty, Inconclusive, Source of evidence, Scientist-actor relationships, Relationships between colleagues, Social, political, and economic context, Practitioner/policymaker research skills, Practitioner/policymaker decision process, Culture of practitioner/policymakers, Other stakeholder values and beliefs","Not mentioned","Multi-country","National","Government/statutory body","","Canada","Americas"
"rayyan-83177768","Ireland","Not mentioned","Not mentioned","Not reported","Policymakers","No description provided","Interviews","Stakeholder perceptions","Format and language, Relevance, Rigour, Uncertainty, Inconclusive, Source of evidence, Scientist-actor relationships, Relationships between colleagues, Social, political, and economic context, Practitioner/policymaker research skills, Practitioner/policymaker decision process, Culture of practitioner/policymakers, Other stakeholder values and beliefs","Not mentioned","Multi-country","National","Government/statutory body","","Ireland","Europe"
"rayyan-83177768","UK","Not mentioned","Not mentioned","Not reported","Policymakers","No description provided","Interviews","Stakeholder perceptions","Format and language, Relevance, Rigour, Uncertainty, Inconclusive, Source of evidence, Scientist-actor relationships, Relationships between colleagues, Social, political, and economic context, Practitioner/policymaker research skills, Practitioner/policymaker decision process, Culture of practitioner/policymakers, Other stakeholder values and beliefs","Not mentioned","Multi-country","National","Government/statutory body","","United Kingdom","Europe"
"rayyan-83177768","New Zealand","Not mentioned","Not mentioned","Not reported","Policymakers","No description provided","Interviews","Stakeholder perceptions","Format and language, Relevance, Rigour, Uncertainty, Inconclusive, Source of evidence, Scientist-actor relationships, Relationships between colleagues, Social, political, and economic context, Practitioner/policymaker research skills, Practitioner/policymaker decision process, Culture of practitioner/policymakers, Other stakeholder values and beliefs","Not mentioned","Multi-country","National","Government/statutory body","","New Zealand","Oceania"
"rayyan-83177562","India","Forest","Mammals","Overexploitation","Researchers, Practitioners, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Relevance, Source of evidence, Scientist-actor relationships, Social, political, and economic context","Natural sciences","Single","Local","Government/statutory body, Academic institution","Control of yak grazing","India","Asia"
"rayyan-83177652","Peru","Forest","Plants","Overexploitation","Researchers, Practitioners, Policymakers","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Rigour, Scientist-actor relationships, Social, political, and economic context, Implementation capacity, Practitioner/policymaker personal characteristics, Other stakeholder values and beliefs","Natural sciences","Single","Regional","Government/statutory body, NGO/non-profit, Private sector, Academic institution","Logging in brazil nut concessions","Peru","Americas"
"rayyan-83177669","Australia","Not mentioned","Not mentioned","Climate change","Researchers, Practitioners, Policymakers","Visual products for communicating research results","Interviews, Workshops","Stakeholder perceptions","Format and language, Relevance","Social sciences","Multi-unit","Not reported","Government/statutory body, NGO/non-profit, Academic institution","Adaptation to climate change","Australia","Oceania"
"rayyan-83177749","UK","Marine","Not mentioned","Overexploitation, Infrastructure","Researchers","No description provided","Workshops","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Rigour, Timeliness of evidence","Natural sciences","Single","Not reported","Academic institution","Multiple","United Kingdom","Europe"
"rayyan-153485175","Canada","Freshwater","Fish","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Format and language, Relevance, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Social, political, and economic context","Not mentioned","Multi-unit","Regional","Government/statutory body, NGO/non-profit, Private sector, First Nations Communities","Salmon fishery management","Canada","Americas"
"rayyan-153486790","Belize","Not mentioned","Mammals","Overexploitation","Researchers, Practitioners, Law enforcement","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Rigour, Implementation capacity, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Both natural and social sciences","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Academic institution","Illegal wildlife trade enforcement","Belize","Americas"
"rayyan-153486790","Guatemala","Not mentioned","Mammals","Overexploitation","Researchers, Practitioners, Law enforcement","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Rigour, Implementation capacity, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Both natural and social sciences","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Academic institution","Illegal wildlife trade enforcement","Guatemala","Americas"
"rayyan-153486790","Honduras","Not mentioned","Mammals","Overexploitation","Researchers, Practitioners, Law enforcement","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Rigour, Implementation capacity, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Both natural and social sciences","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Academic institution","Illegal wildlife trade enforcement","Honduras","Americas"
"rayyan-153486863","Bulgaria","Marine","Fish","Overexploitation","Researchers","No description provided","Workshops","Stakeholder perceptions","Existence of evidence, Relevance, Scientist-actor relationships","Natural sciences","Multi-country","International","Academic institution","Fisheries management","Bulgaria","Europe"
"rayyan-153486863","Cyprus","Marine","Fish","Overexploitation","Researchers","No description provided","Workshops","Stakeholder perceptions","Existence of evidence, Relevance, Scientist-actor relationships","Natural sciences","Multi-country","International","Academic institution","Fisheries management","Cyprus","Asia"
"rayyan-153486863","France","Marine","Fish","Overexploitation","Researchers","No description provided","Workshops","Stakeholder perceptions","Existence of evidence, Relevance, Scientist-actor relationships","Natural sciences","Multi-country","International","Academic institution","Fisheries management","France","Europe"
"rayyan-153486863","Greece","Marine","Fish","Overexploitation","Researchers","No description provided","Workshops","Stakeholder perceptions","Existence of evidence, Relevance, Scientist-actor relationships","Natural sciences","Multi-country","International","Academic institution","Fisheries management","Greece","Europe"
"rayyan-153486863","Italy","Marine","Fish","Overexploitation","Researchers","No description provided","Workshops","Stakeholder perceptions","Existence of evidence, Relevance, Scientist-actor relationships","Natural sciences","Multi-country","International","Academic institution","Fisheries management","Italy","Europe"
"rayyan-153486863","Malta","Marine","Fish","Overexploitation","Researchers","No description provided","Workshops","Stakeholder perceptions","Existence of evidence, Relevance, Scientist-actor relationships","Natural sciences","Multi-country","International","Academic institution","Fisheries management","Malta","Europe"
"rayyan-153486863","Romania","Marine","Fish","Overexploitation","Researchers","No description provided","Workshops","Stakeholder perceptions","Existence of evidence, Relevance, Scientist-actor relationships","Natural sciences","Multi-country","International","Academic institution","Fisheries management","Romania","Europe"
"rayyan-153486863","Spain","Marine","Fish","Overexploitation","Researchers","No description provided","Workshops","Stakeholder perceptions","Existence of evidence, Relevance, Scientist-actor relationships","Natural sciences","Multi-country","International","Academic institution","Fisheries management","Spain","Europe"
"rayyan-153486863","Croatia","Marine","Fish","Overexploitation","Researchers","No description provided","Workshops","Stakeholder perceptions","Existence of evidence, Relevance, Scientist-actor relationships","Natural sciences","Multi-country","International","Academic institution","Fisheries management","Croatia","Europe"
"rayyan-153486863","Egypt","Marine","Fish","Overexploitation","Researchers","No description provided","Workshops","Stakeholder perceptions","Existence of evidence, Relevance, Scientist-actor relationships","Natural sciences","Multi-country","International","Academic institution","Fisheries management","Egypt","Africa"
"rayyan-153486863","Georgia","Marine","Fish","Overexploitation","Researchers","No description provided","Workshops","Stakeholder perceptions","Existence of evidence, Relevance, Scientist-actor relationships","Natural sciences","Multi-country","International","Academic institution","Fisheries management","Georgia","Asia"
"rayyan-153486863","Lebanon","Marine","Fish","Overexploitation","Researchers","No description provided","Workshops","Stakeholder perceptions","Existence of evidence, Relevance, Scientist-actor relationships","Natural sciences","Multi-country","International","Academic institution","Fisheries management","Lebanon","Asia"
"rayyan-153486863","Morocco","Marine","Fish","Overexploitation","Researchers","No description provided","Workshops","Stakeholder perceptions","Existence of evidence, Relevance, Scientist-actor relationships","Natural sciences","Multi-country","International","Academic institution","Fisheries management","Morocco","Africa"
"rayyan-153486863","Russia","Marine","Fish","Overexploitation","Researchers","No description provided","Workshops","Stakeholder perceptions","Existence of evidence, Relevance, Scientist-actor relationships","Natural sciences","Multi-country","International","Academic institution","Fisheries management","Russia","Europe"
"rayyan-153486863","Tunisia","Marine","Fish","Overexploitation","Researchers","No description provided","Workshops","Stakeholder perceptions","Existence of evidence, Relevance, Scientist-actor relationships","Natural sciences","Multi-country","International","Academic institution","Fisheries management","Tunisia","Africa"
"rayyan-153486863","Turkey","Marine","Fish","Overexploitation","Researchers","No description provided","Workshops","Stakeholder perceptions","Existence of evidence, Relevance, Scientist-actor relationships","Natural sciences","Multi-country","International","Academic institution","Fisheries management","Turkey","Asia"
"rayyan-153486863","Ukraine","Marine","Fish","Overexploitation","Researchers","No description provided","Workshops","Stakeholder perceptions","Existence of evidence, Relevance, Scientist-actor relationships","Natural sciences","Multi-country","International","Academic institution","Fisheries management","Ukraine","Europe"
"rayyan-153486874","UK","Forest, Peatland","Not mentioned","Not reported","Researchers, Practitioners","Research data","Surveys","Stakeholder perceptions","Relevance, Spatial/temporal scale of evidence, Scientist-actor relationships, Capacity and resources","Both natural and social sciences","Multi-region","Local","Government/statutory body, NGO/non-profit, Academic institution","Management of upland peatlands and upland woodlands","United Kingdom","Europe"
"rayyan-153487541","Mozambique","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","Mozambique","Africa"
"rayyan-153487541","South Africa","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","South Africa","Africa"
"rayyan-153487541","Uganda","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","Uganda","Africa"
"rayyan-153487541","India","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","India","Asia"
"rayyan-153487541","Pakistan","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","Pakistan","Asia"
"rayyan-153487541","South Korea","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","South Korea","Asia"
"rayyan-153487541","Russia","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","Russia","Europe"
"rayyan-153487541","Australia","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","Australia","Oceania"
"rayyan-153487541","New Zealand","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","New Zealand","Oceania"
"rayyan-153487541","Belgium","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","Belgium","Europe"
"rayyan-153487541","Czech Republic","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","Czech Republic","Europe"
"rayyan-153487541","Estonia","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","Estonia","Europe"
"rayyan-153487541","Italy","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","Italy","Europe"
"rayyan-153487541","Netherlands","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","Netherlands","Europe"
"rayyan-153487541","Spain","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","Spain","Europe"
"rayyan-153487541","Sweden","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","Sweden","Europe"
"rayyan-153487541","UK","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","United Kingdom","Europe"
"rayyan-153487541","Ireland","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","Ireland","Europe"
"rayyan-153487541","Canada","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","Canada","Americas"
"rayyan-153487541","Mexico","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","Mexico","Americas"
"rayyan-153487541","Trinidad and Tobago","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","Trinidad and Tobago","Americas"
"rayyan-153487541","USA","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","United States","Americas"
"rayyan-153487541","Ecuador","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","Ecuador","Americas"
"rayyan-153487541","Suriname","Not mentioned","Not mentioned","Not reported","Researchers","Research data","Surveys","Stakeholder perceptions","Spatial/temporal scale of evidence","Natural sciences","Multi-country","Not reported","Academic institution","Use of biodiversity impact assessment data","Suriname","Americas"
